GEO,NRG_BAL,SIEC,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Allemagne (jusqu'en 1990, ancien territoire de la RFA),Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	1.962,906	2.062,941	2.475,199	2.479,772	2.406,870	2.494,862	2.496,991	1.220,120	1.110,168	1.219,411
Estonie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Irlande,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	33,158	28,596	35,114	37,764	45,996	43,430	44,386	47,047	34,255	28,878
Grèce,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Espagne,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	354,173	-231,524	2.056,148	2.351,707	1.310,581	1.027,213	1.097,208	865,897	822,295	474,145
France,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	1.011,317	1.174,981	1.283,832	740,346	819,862	446,215	373,631	594,508
Croatie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,660	1,319	0,000	1,979	0,660	0,660	0,000	0,197	2,040
Italie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	20,366	46,821
Chypre,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Lettonie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	1,966	0,655	0,000	0,000	0,655	0,165	0,000
Lituanie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	9,600	0,000	2,400	0,600	1,200	0,600	0,000	0,600	0,120	0,000
Luxembourg,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	13,296	16,321	10,381	7,512	7,643	7,218	6,935	6,923	3,053	3,036
Hongrie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,659	0,000	0,000	0,000	1,791	1,791
Malte,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Pays-Bas,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	25,193	25,893	22,394	52,486	44,089	24,329	26,136	27,896	34,469	35,318
Autriche,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	3,665	2,557	4,147	4,105	0,961	1,420	2,980	44,357	51,135	42,335
Pologne,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	155,714	169,105	207,152
Portugal,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	14,843	13,965	15,038	17,891	18,281	7,793	7,324	3,995	2,107	3,156
Roumanie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	42,689	37,810	76,231	92,087	79,890	85,378	69,522	76,840	110,753	105,236
Slovénie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Slovaquie,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	163,617	174,054	179,211	138,328	120,793	148,113	76,992	104,756	115,757	121,176
Finlande,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,658	1,974	1,974	0,658	0,658	0,000
Suède,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Royaume-Uni,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Islande,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	58,957	68,336	65,656	70,346	80,396	66,996	77,716	83,075	85,237	95,468
Norvège,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
Monténégro,Énergie disponible brute,Anthracite,Milliers de tonnes équivalent pétrole (TEP)	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000
